DateTime,Junction,Vehicles,ID,Hour,Day,Month,Weekday,IsWeekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Lag_1,Lag_2,Lag_3,Lag_24,Rolling_Mean_3,Rolling_Std_3,Rolling_Mean_24,Rolling_Max_24,congestion_label
2015-11-02 00:00:00,1,14,20151102001,0,2,11,1,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,15,20,19,15,18.0,2.6457513110645907,13.625,20,0
2015-11-02 01:00:00,1,12,20151102011,1,2,11,1,0,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,14,15,20,13,16.333333333333332,3.214550253664318,13.583333333333334,20,0
2015-11-02 02:00:00,1,14,20151102021,2,2,11,1,0,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,12,14,15,10,13.666666666666666,1.5275252316519465,13.541666666666666,20,0
2015-11-02 03:00:00,1,12,20151102031,3,2,11,1,0,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,14,12,14,7,13.333333333333334,1.1547005383792517,13.708333333333334,20,0
2015-11-02 04:00:00,1,12,20151102041,4,2,11,1,0,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,12,14,12,9,12.666666666666666,1.1547005383792517,13.916666666666666,20,0
2015-11-02 05:00:00,1,11,20151102051,5,2,11,1,0,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,12,12,14,6,12.666666666666666,1.1547005383792517,14.041666666666666,20,0
2015-11-02 06:00:00,1,13,20151102061,6,2,11,1,0,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,11,12,12,9,11.666666666666666,0.5773502691896258,14.25,20,0
2015-11-02 07:00:00,1,14,20151102071,7,2,11,1,0,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,13,11,12,8,12.0,1.0,14.416666666666666,20,0
2015-11-02 08:00:00,1,12,20151102081,8,2,11,1,0,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,14,13,11,11,12.666666666666666,1.5275252316519468,14.666666666666666,20,0
2015-11-02 09:00:00,1,22,20151102091,9,2,11,1,0,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,12,14,13,12,13.0,1.0,14.708333333333334,20,0
